ID,area,edge,E_A,mean_B1,mean_B2,mean_B3,mean_B4,mean_NDVI,sd_B1,sd_B2,sd_B3,sd_B4,sd_NDVI
11885,1.257408295,0.41960759,0.333708305,465.8071429,840.2785714,584.7428571,3415.378571,0.758584993,51.7468793,79.05458162,110.0960582,231.2769515,0.035317077
11911,2.613610637,0.623305265,0.238484362,410.6494845,738.6254296,467.443299,3969.24055,0.812028421,29.40069477,60.2248709,59.70570973,218.6200228,0.016673124
12024,1.850192115,0.341681736,0.184673652,441.6116505,741.5970874,596.0339806,3752.325243,0.787566044,39.87510575,56.22852146,147.3377531,334.9604506,0.030432957
12314,6.098497295,0.59935992,0.098279935,358.7407953,586.6921944,395.6141384,2785.413844,0.770715884,24.37636253,40.15230349,46.2664609,216.6564465,0.022459707
12512,5.236261641,0.611281573,0.116740074,357.1166381,591.0651801,382.9331046,3060.308748,0.790263276,15.1599756,33.23408394,21.66776594,205.9679621,0.015279121
12602,1.275371486,0.251714523,0.197365651,763.2183099,1196.71831,1227.852113,2587.549296,0.540096783,124.4218469,117.9546954,260.5099186,425.3767221,0.066629311
12756,5.02964193,0.62341153,0.123947497,730.9178571,1124.151786,1313.1125,2840.310714,0.590317281,114.6690518,143.9101296,190.5500648,248.4785616,0.056087913
12988,4.068609765,0.887099477,0.218035036,453.3267108,754.1898455,605.7637969,3392.567329,0.763624163,71.56159002,103.1964969,203.1018736,322.934249,0.03336469
12996,1.724440883,0.23980553,0.139062772,1098.692708,1584.479167,1914.682292,2868.192708,0.447399455,183.6668802,266.896885,331.4900014,303.9903886,0.054360294
13106,1.392137556,0.26368965,0.189413502,387.316129,633.283871,390.916129,3548.483871,0.802621482,16.03921932,35.85011272,21.39090559,231.7592614,0.012375725
13265,2.416048445,0.527420564,0.218298836,350.4089219,566.7843866,388.3903346,2638.728625,0.764981767,20.17045077,42.88180103,39.48682072,162.8474379,0.016876126
13304,1.643622743,0.407515846,0.24793758,364.6612022,591.5956284,378.7923497,2841.327869,0.772080713,16.93182752,32.68162071,29.37500145,164.0453289,0.012773882
13315,5.200309769,0.862916202,0.165935539,356.7927461,536.1070812,356.4576857,2641.020725,0.761273137,21.53202851,40.63039926,28.92149358,195.960794,0.016063265
13523,3.592610895,0.563368517,0.156813118,375.3225,593.1775,380.785,3165.27,0.78723382,21.17059231,42.4245873,24.68130247,248.4022772,0.015388647
